Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-17, 8, -16]","[-12, 19, -19]","[-7, 10, -2]","[-13, 6, -7]","[-2, 0, 7]","[-12, 1, 10]","[0, 0, 5]","[-3, 0, 8]",Evan_001_001
"[-16, 9, -19]","[-9, 19, -14]","[-9, 7, -6]","[-11, 6, -5]","[-4, 0, 11]","[-7, -2, 10]","[-1, 0, 7]","[1, 0, 3]",Evan_001_001
"[-14, 7, -18]","[-8, 18, -16]","[-3, 6, -5]","[-7, 4, -2]","[-2, 3, 13]","[-5, -1, 10]","[3, -1, 14]","[0, 0, 9]",Evan_001_001
"[-14, 6, -17]","[-7, 19, -10]","[-3, 8, -1]","[-10, 6, -4]","[0, -2, 8]","[-6, -2, 9]","[2, 2, 11]","[0, 0, 6]",Evan_001_001
"[-12, 3, -16]","[-6, 17, -13]","[-3, 6, -3]","[-7, 1, -1]","[0, -2, 2]","[-3, -1, 7]","[5, 3, 12]","[1, 0, 9]",Evan_001_001
"[-14, 3, -17]","[-9, 14, -17]","[-7, 8, -3]","[-11, 2, 1]","[-4, 0, 10]","[-5, -3, 6]","[-3, 4, 7]","[0, 4, 10]",Evan_001_001
"[-14, 3, -14]","[-11, 17, -15]","[-7, 6, 0]","[-11, 6, -2]","[-5, 1, 7]","[-7, -1, 3]","[0, 1, 4]","[1, -1, 2]",Evan_001_001
"[-16, 2, -15]","[-9, 18, -13]","[-6, 8, 0]","[-10, 6, 0]","[-5, 0, 2]","[-10, -1, 0]","[-3, -2, 12]","[0, 0, 2]",Evan_001_001
"[-16, 4, -13]","[-10, 18, -17]","[-6, 7, -5]","[-9, 3, -6]","[-2, 1, 6]","[-4, -5, 3]","[-4, -1, 4]","[-2, -1, 2]",Evan_001_001
"[-15, 1, -10]","[-11, 14, -13]","[-6, 6, 0]","[-9, 5, -3]","[-3, 3, 3]","[-7, -1, -1]","[-1, 0, 6]","[-3, 1, 3]",Evan_001_001
"[-14, 5, -10]","[-7, 15, -14]","[-4, 10, -1]","[-10, 2, -3]","[-4, 0, 5]","[-9, -4, 3]","[1, 0, 6]","[-1, -3, 6]",Evan_001_001
"[-13, 6, -11]","[-6, 17, -10]","[-4, 7, 0]","[-5, 6, -3]","[4, -2, 2]","[-2, 0, 0]","[3, 2, 6]","[-1, 1, 3]",Evan_001_001
"[-9, 8, -10]","[-4, 18, -7]","[0, 7, 0]","[-4, 3, 5]","[0, -2, 3]","[-3, -4, 9]","[5, 0, 9]","[3, 1, 5]",Evan_001_001
"[-10, 7, -10]","[-2, 13, -2]","[-1, 4, 0]","[-4, 5, 4]","[0, -2, 4]","[0, -3, 3]","[1, 1, 4]","[0, 0, 9]",Evan_001_001
"[-8, 5, -11]","[-4, 15, -2]","[0, 4, 0]","[-5, 3, -1]","[0, -1, 5]","[-2, -2, 6]","[5, -1, 14]","[2, -2, 2]",Evan_001_001
"[-7, 4, -8]","[-1, 9, -4]","[2, 1, 0]","[-5, 0, 4]","[0, 0, 1]","[1, -5, 5]","[4, -2, 7]","[1, -1, 4]",Evan_001_001
"[-7, 6, -6]","[-1, 14, -5]","[0, 7, 2]","[-3, 3, 6]","[-1, 4, 1]","[0, -2, 0]","[4, -1, 2]","[-1, -1, 7]",Evan_001_001
"[-8, 4, -7]","[-1, 12, 0]","[0, 2, 2]","[-2, 3, 1]","[0, 0, -1]","[-4, -5, 0]","[7, 0, 3]","[1, 0, 2]",Evan_001_001
"[-6, 2, -6]","[-1, 10, 2]","[1, 4, 5]","[-3, 1, 6]","[0, 0, 1]","[0, -3, 3]","[3, -2, 0]","[0, 0, 1]",Evan_001_001
"[-7, 3, -1]","[-1, 9, 0]","[0, 1, 4]","[-2, 2, 5]","[0, 1, -3]","[3, -3, -3]","[1, 0, 5]","[1, 1, 0]",Evan_001_001
"[-6, 6, 9]","[-2, 11, 21]","[3, -1, 12]","[3, 0, 12]","[0, 3, -7]","[0, -4, -11]","[2, -3, -7]","[-1, -2, -8]",Evan_001_001
"[-4, 4, 23]","[-6, 7, 29]","[0, -6, 17]","[4, -3, 19]","[-5, 2, -16]","[-3, -5, -20]","[0, -9, -13]","[-5, -2, -13]",Evan_001_001
"[-10, 2, 40]","[-21, 2, 29]","[-6, -9, 24]","[3, -8, 26]","[-9, 0, -23]","[-5, -12, -23]","[-2, -11, -12]","[-11, -3, -14]",Evan_001_001
"[-28, -1, 18]","[-30, 10, -2]","[-17, -2, 4]","[-13, -5, 24]","[-15, 1, -17]","[-15, -18, -30]","[-2, -18, -10]","[-11, -8, -17]",Evan_001_001
"[-30, -1, 13]","[-29, 14, -9]","[-15, 1, 3]","[-15, -8, 15]","[-13, 0, -27]","[-12, -17, -36]","[0, -20, -10]","[-10, -7, -15]",Evan_001_001
"[-34, -6, -12]","[-26, 20, -39]","[-17, 13, -17]","[-26, -2, -2]","[-15, -4, -15]","[-18, -20, -23]","[-3, -21, 0]","[-9, -11, -6]",Evan_001_001
"[-38, -3, -20]","[-21, 25, -42]","[-16, 15, -18]","[-25, 1, -4]","[-15, -4, -20]","[-17, -26, -21]","[-3, -25, 4]","[-10, -12, -6]",Evan_001_001
"[-40, 0, -23]","[-21, 30, -46]","[-17, 18, -20]","[-28, 0, -4]","[-17, -4, -23]","[-18, -22, -24]","[0, -24, -5]","[-12, -11, -11]",Evan_001_001
"[-42, 2, -27]","[-20, 31, -42]","[-18, 19, -12]","[-26, 1, -8]","[-17, -4, -22]","[-22, -25, -25]","[0, -26, -6]","[-11, -9, -15]",Evan_001_001
"[-41, 6, -28]","[-24, 36, -48]","[-14, 20, -10]","[-30, 3, -7]","[-20, -5, -24]","[-19, -29, -33]","[-1, -28, -7]","[-11, -10, -10]",Evan_001_001
"[-43, 4, -29]","[-24, 37, -40]","[-17, 20, -15]","[-24, 6, -9]","[-18, -4, -25]","[-18, -25, -28]","[-2, -26, -4]","[-11, -10, -10]",Evan_001_001
"[-40, 3, -32]","[-21, 30, -40]","[-15, 19, -15]","[-32, 0, -8]","[-16, -6, -21]","[-15, -24, -24]","[-1, -26, -4]","[-11, -9, -5]",Evan_001_001
"[-37, 5, -30]","[-24, 32, -46]","[-14, 21, -15]","[-24, 1, -8]","[-19, -5, -23]","[-16, -26, -27]","[-3, -27, -2]","[-8, -9, -10]",Evan_001_001
"[-36, 4, -29]","[-19, 33, -37]","[-10, 19, -16]","[-25, 4, -4]","[-19, -4, -18]","[-18, -30, -23]","[-2, -27, -6]","[-10, -11, -9]",Evan_001_001
"[-37, 3, -22]","[-22, 31, -33]","[-13, 16, -15]","[-27, 7, -13]","[-17, -7, -19]","[-16, -28, -26]","[-2, -26, 2]","[-12, -12, -11]",Evan_001_001
"[-36, 2, -27]","[-20, 33, -42]","[-13, 18, -13]","[-25, 2, -6]","[-16, -4, -19]","[-18, -26, -28]","[0, -26, 1]","[-9, -12, -10]",Evan_001_001
"[-37, 0, -22]","[-21, 32, -42]","[-14, 19, -16]","[-23, 4, -2]","[-15, -6, -21]","[-16, -25, -23]","[-1, -22, -4]","[-8, -13, -6]",Evan_001_001
"[-37, 2, -25]","[-23, 29, -39]","[-12, 18, -12]","[-24, 1, -5]","[-19, -3, -18]","[-18, -22, -27]","[-2, -23, -6]","[-12, -11, -6]",Evan_001_001
"[-34, 0, -26]","[-18, 29, -40]","[-16, 20, -13]","[-23, 0, -1]","[-15, -2, -23]","[-14, -27, -24]","[0, -25, -3]","[-9, -12, -1]",Evan_001_001
"[-37, 2, -26]","[-22, 31, -40]","[-13, 16, -10]","[-24, 2, -4]","[-14, -3, -20]","[-18, -22, -26]","[0, -22, -6]","[-10, -9, -8]",Evan_001_001
"[-38, 4, -25]","[-20, 33, -40]","[-11, 17, -12]","[-26, 0, -10]","[-15, -2, -22]","[-12, -25, -27]","[-2, -26, -5]","[-11, -12, -8]",Evan_001_001
"[-37, 1, -25]","[-22, 30, -40]","[-16, 16, -13]","[-28, 5, -7]","[-20, -4, -23]","[-19, -25, -26]","[-2, -26, -3]","[-11, -9, -11]",Evan_001_001
"[-37, 3, -23]","[-24, 33, -42]","[-18, 19, -10]","[-25, 2, -1]","[-19, -4, -24]","[-19, -24, -34]","[-3, -26, -9]","[-10, -9, -13]",Evan_001_001
"[-43, 5, -23]","[-25, 34, -42]","[-16, 18, -6]","[-27, 2, -1]","[-18, -3, -21]","[-20, -26, -30]","[-6, -23, -7]","[-14, -14, -11]",Evan_001_001
"[-43, 3, -22]","[-24, 35, -40]","[-17, 18, -9]","[-26, 4, -4]","[-20, -4, -15]","[-17, -27, -28]","[-2, -24, -6]","[-8, -11, -11]",Evan_001_001
"[-42, 4, -28]","[-23, 31, -40]","[-16, 17, -9]","[-31, 3, -3]","[-21, -3, -22]","[-20, -24, -28]","[-5, -27, -8]","[-12, -10, -15]",Evan_001_001
"[-39, 2, -25]","[-25, 33, -41]","[-18, 18, -10]","[-28, 6, -6]","[-19, -5, -20]","[-16, -26, -26]","[0, -26, -1]","[-11, -13, -7]",Evan_001_001
"[-37, 0, -29]","[-24, 32, -44]","[-18, 17, -14]","[-25, 3, -4]","[-19, -5, -20]","[-17, -23, -28]","[-1, -25, -2]","[-12, -10, -13]",Evan_001_001
"[-42, 3, -32]","[-24, 34, -37]","[-19, 18, -13]","[-22, 4, -3]","[-18, -1, -21]","[-21, -25, -30]","[-2, -24, 0]","[-13, -13, -9]",Evan_001_001
"[-42, 5, -27]","[-25, 32, -43]","[-18, 17, -12]","[-26, 0, -2]","[-19, -6, -20]","[-20, -23, -34]","[-2, -25, -6]","[-10, -11, -10]",Evan_001_001
"[-42, 5, -26]","[-27, 34, -36]","[-19, 18, -8]","[-28, 1, -7]","[-18, -5, -23]","[-15, -24, -31]","[-1, -25, -9]","[-10, -8, -13]",Evan_001_001
"[-44, 6, -23]","[-32, 39, -37]","[-15, 16, -7]","[-26, 4, -1]","[-17, -4, -27]","[-18, -25, -31]","[0, -26, -6]","[-13, -12, -14]",Evan_001_001
"[-44, 8, -24]","[-27, 37, -38]","[-21, 21, -6]","[-30, 7, -1]","[-16, -5, -28]","[-18, -26, -32]","[-2, -28, -12]","[-12, -12, -9]",Evan_001_001
"[-45, 3, -29]","[-27, 36, -34]","[-21, 19, -7]","[-32, 4, 0]","[-19, -4, -28]","[-19, -28, -40]","[-2, -29, -10]","[-13, -10, -16]",Evan_001_001
"[-47, 7, -25]","[-28, 36, -35]","[-16, 19, -3]","[-30, 5, -1]","[-20, -2, -30]","[-18, -27, -34]","[0, -29, -7]","[-13, -12, -17]",Evan_001_001
"[-48, 9, -20]","[-29, 39, -37]","[-19, 18, -5]","[-28, 5, 4]","[-19, -3, -28]","[-16, -24, -38]","[-3, -28, -4]","[-13, -10, -13]",Evan_001_001
"[-45, 7, -22]","[-28, 36, -37]","[-16, 20, -8]","[-30, 3, 5]","[-20, -3, -23]","[-20, -30, -34]","[-3, -30, -7]","[-15, -11, -9]",Evan_001_001
"[-44, 6, -30]","[-28, 35, -37]","[-15, 18, -6]","[-30, 6, 3]","[-18, -3, -26]","[-18, -26, -32]","[-5, -28, -6]","[-9, -13, -18]",Evan_001_001
"[-47, 9, -23]","[-28, 34, -45]","[-22, 23, -12]","[-29, 5, 0]","[-20, -3, -23]","[-20, -25, -33]","[-1, -26, -7]","[-11, -10, -15]",Evan_001_001
"[-43, 4, -23]","[-25, 30, -40]","[-17, 17, -11]","[-30, 5, -3]","[-19, -4, -24]","[-16, -26, -31]","[-1, -26, -10]","[-12, -11, -11]",Evan_001_001
"[-39, 4, -17]","[-26, 34, -46]","[-19, 17, -8]","[-28, 3, 2]","[-17, -4, -28]","[-15, -25, -30]","[-1, -28, -2]","[-12, -10, -8]",Evan_001_001
"[-40, 5, -16]","[-27, 34, -30]","[-17, 15, -6]","[-28, 0, 6]","[-19, -3, -24]","[-14, -24, -29]","[-2, -29, -9]","[-10, -13, -14]",Evan_001_001
"[-46, 6, -15]","[-30, 37, -34]","[-18, 14, -1]","[-24, 0, 2]","[-17, -4, -33]","[-16, -25, -35]","[-3, -26, -3]","[-12, -10, -16]",Evan_001_001
"[-30, 0, 4]","[-23, 19, -10]","[-9, 4, 2]","[-18, -6, 17]","[-11, -2, -18]","[-13, -21, -29]","[0, -23, -3]","[-9, -11, -10]",Evan_001_001
"[-15, -3, 6]","[-11, 8, -12]","[-8, -1, -3]","[-7, -5, 6]","[-7, -5, -16]","[-11, -16, -10]","[1, -15, 0]","[-4, -5, -5]",Evan_001_001
"[3, -2, 21]","[2, -9, 15]","[0, -16, 9]","[3, -8, 15]","[-1, -1, -2]","[-3, -8, -7]","[3, -5, 8]","[0, -2, -4]",Evan_001_001
"[-17, -1, -5]","[-15, 0, -10]","[-8, 0, -8]","[-9, -2, 0]","[-2, 1, 1]","[-6, 1, 7]","[-4, 0, 6]","[-2, -1, 6]",Evan_001_001
"[-22, 0, -27]","[-16, 20, -30]","[-9, 16, -6]","[-16, 4, -7]","[-10, 0, 6]","[-13, -3, 0]","[-4, -7, 10]","[-4, 0, 12]",Evan_001_001
"[-22, 1, -26]","[-15, 20, -30]","[-9, 15, -9]","[-15, 1, -11]","[-9, 0, 2]","[-18, -6, -2]","[0, -10, 7]","[-3, -1, 1]",Evan_001_001
"[-19, 3, -18]","[-15, 21, -25]","[-7, 10, -9]","[-13, 4, -5]","[-7, 2, -1]","[-12, -5, -9]","[-2, -4, 2]","[-2, -2, 4]",Evan_001_001
"[-24, 6, -20]","[-15, 23, -30]","[-9, 11, -5]","[-12, 3, -5]","[-6, 1, -3]","[-12, -5, -5]","[-3, -9, 6]","[-4, -2, -1]",Evan_001_001
"[-19, 4, -27]","[-13, 22, -19]","[-3, 13, -7]","[-13, 2, 0]","[-8, 0, -1]","[-12, -3, -5]","[0, -8, 5]","[0, 0, 1]",Evan_001_001
"[-15, 4, -15]","[-10, 19, -15]","[-3, 8, -5]","[-12, 2, -3]","[-6, 1, -6]","[-9, -3, -3]","[0, -4, 3]","[-2, 1, 0]",Evan_001_001
"[-16, 0, -19]","[-12, 20, -21]","[-6, 10, -3]","[-9, 5, -7]","[-3, 1, 2]","[-7, -4, 0]","[0, -4, 6]","[-1, -1, 4]",Evan_001_001
"[-18, 5, -23]","[-12, 17, -23]","[-5, 12, -10]","[-12, 7, -8]","[-9, -1, 8]","[-8, 0, 7]","[0, -2, 12]","[-1, 0, 11]",Evan_001_001
"[-18, 4, -23]","[-15, 19, -27]","[-12, 13, -7]","[-15, 6, -7]","[0, 0, 15]","[-7, 2, 20]","[3, 7, 17]","[2, 4, 16]",Evan_001_001
"[-16, 4, -20]","[-15, 18, -21]","[-6, 11, -7]","[-11, 3, -7]","[1, 0, 12]","[-7, 5, 12]","[-3, 7, 12]","[0, 3, 11]",Evan_001_001
"[-17, 8, -21]","[-14, 19, -21]","[-8, 11, -3]","[-10, 3, -3]","[0, 2, 11]","[-11, 8, 10]","[-5, 5, 6]","[0, 3, 15]",Evan_001_001
"[-13, 4, -15]","[-9, 18, -17]","[-7, 6, -4]","[-12, 5, -2]","[3, 2, 8]","[-4, 2, 13]","[-2, 4, 4]","[2, 5, 2]",Evan_001_001
"[-8, 1, -5]","[-3, 11, -6]","[-5, 3, 0]","[-6, 0, -1]","[1, 5, 9]","[-1, 0, 6]","[3, -1, 5]","[3, 2, 3]",Evan_001_001
"[-12, 3, -14]","[-10, 15, -13]","[-9, 8, -6]","[-14, 4, 2]","[-5, 3, 5]","[-10, 0, 2]","[0, -4, 7]","[-2, 0, 1]",Evan_001_001
"[-12, 0, -17]","[-10, 11, -18]","[-6, 9, -3]","[-11, 4, -3]","[0, -2, 8]","[-5, -1, 3]","[4, 2, 11]","[3, 1, 11]",Evan_001_001
"[-14, 3, -19]","[-3, 13, -17]","[-6, 6, -5]","[-7, 0, -4]","[3, 0, 9]","[-3, -1, 9]","[3, 0, 10]","[4, -1, 2]",Evan_001_001
"[-10, 3, -17]","[-1, 12, -15]","[-3, 3, -4]","[-7, 1, -5]","[0, 0, 3]","[-3, -4, 3]","[4, -1, 7]","[1, 0, 3]",Evan_001_001
"[-15, 5, -10]","[-7, 11, -9]","[-4, 7, -2]","[-6, 6, -3]","[-1, 0, 3]","[-2, -1, 4]","[3, 0, 4]","[2, 0, 5]",Evan_001_001
"[-11, 3, -11]","[-3, 12, -16]","[0, 4, -1]","[-7, 2, -6]","[-1, -3, 2]","[-2, -1, 5]","[5, 0, 9]","[1, -3, 1]",Evan_001_001
"[-9, 5, -17]","[-3, 14, -11]","[0, 8, -6]","[-5, 2, 0]","[0, 0, 10]","[-2, -7, 1]","[3, -3, 7]","[1, 2, 3]",Evan_001_001
"[-9, 2, -8]","[-7, 12, -12]","[-1, 5, -5]","[-8, 2, -2]","[0, 1, 0]","[-2, -5, 0]","[5, -4, 9]","[2, 0, 6]",Evan_001_001
"[-7, 4, -9]","[0, 12, -6]","[1, 2, -3]","[-4, 0, -1]","[1, 0, 5]","[0, -8, 4]","[3, -4, 10]","[4, 0, 1]",Evan_001_001
"[-10, 2, -7]","[-2, 14, -7]","[0, 3, -8]","[-6, 1, -3]","[0, -2, 3]","[0, -4, 12]","[8, -1, 19]","[3, 1, 4]",Evan_001_001
"[-10, 5, -7]","[-4, 12, -5]","[0, 4, -2]","[-4, 3, 1]","[0, 0, 11]","[-2, -3, 6]","[5, 1, 9]","[3, 0, 5]",Evan_001_001
"[-5, 4, -4]","[-1, 8, -5]","[3, 2, -3]","[-3, 4, -1]","[0, -1, 8]","[-2, -5, 11]","[9, 0, 7]","[3, 0, 3]",Evan_001_001
"[-7, 2, -11]","[-2, 11, -3]","[0, 2, 4]","[-2, 3, 0]","[0, 0, 2]","[-2, -7, 5]","[6, 0, 1]","[3, 0, 3]",Evan_001_001
"[-10, 2, -8]","[-2, 10, -7]","[0, 1, 0]","[-4, 0, -3]","[0, 0, 2]","[3, -3, 7]","[5, 0, 6]","[0, -3, 4]",Evan_001_001
"[-5, 5, -10]","[0, 11, -4]","[2, 2, -2]","[-5, 3, -1]","[-1, 0, 3]","[-1, -5, 7]","[5, 0, 10]","[4, 0, 3]",Evan_001_001
"[-3, 4, -5]","[-2, 11, -2]","[0, 3, -4]","[-2, 0, -1]","[1, -1, 5]","[0, -5, 5]","[5, -3, 3]","[2, 0, 2]",Evan_001_001
"[-6, 4, -2]","[-2, 14, -4]","[0, 2, 1]","[-3, -3, 5]","[-1, 0, 2]","[-3, -4, -6]","[2, 0, -2]","[-2, 0, -2]",Evan_001_001
"[-7, 2, -1]","[-4, 9, 3]","[0, 2, 2]","[-5, 3, 1]","[0, 3, -3]","[0, 0, -1]","[0, -2, 0]","[0, 3, -6]",Evan_001_001
"[-8, 3, 0]","[-6, 13, 0]","[-1, 6, 7]","[-3, 2, 4]","[-1, 5, 0]","[-2, 0, -6]","[7, 0, -2]","[-2, 1, -2]",Evan_001_001
"[-8, 6, -5]","[-4, 12, -1]","[-2, 3, 0]","[-1, 0, 3]","[0, -1, 2]","[0, -2, 0]","[3, -1, 5]","[0, 0, 9]",Evan_001_001
"[-5, 4, 1]","[-2, 9, 9]","[0, 0, 0]","[0, 0, 3]","[0, 2, 4]","[-1, -2, -3]","[1, 0, -1]","[0, 0, -5]",Evan_001_001
"[4, 3, 20]","[1, 0, 20]","[1, -8, 14]","[2, -5, 16]","[-1, 2, -11]","[4, -2, -9]","[2, -4, -9]","[-1, 2, -4]",Evan_001_001
"[6, 6, 34]","[-3, -3, 40]","[3, -11, 24]","[7, -8, 23]","[-4, 4, -16]","[2, -5, -16]","[0, -2, -10]","[-4, 0, -11]",Evan_001_001
"[-9, 3, 45]","[-22, -5, 34]","[-9, -14, 21]","[1, -7, 30]","[-9, 5, -21]","[-10, -8, -27]","[-6, -14, -16]","[-9, -1, -13]",Evan_001_001
"[-35, -6, 10]","[-42, 12, -15]","[-22, 0, 4]","[-19, -8, 17]","[-14, 0, -21]","[-19, -18, -36]","[-6, -19, -12]","[-13, -10, -8]",Evan_001_001
"[-45, 0, -20]","[-30, 27, -46]","[-23, 10, -16]","[-31, -3, 1]","[-19, -1, -22]","[-18, -24, -24]","[-7, -24, -5]","[-13, -11, -8]",Evan_001_001
"[-41, 0, -26]","[-24, 31, -44]","[-17, 15, -11]","[-28, 0, -5]","[-19, -3, -18]","[-18, -25, -31]","[-1, -20, -2]","[-13, -13, -10]",Evan_001_001
"[-38, 0, -26]","[-21, 31, -41]","[-18, 16, -17]","[-26, 6, -10]","[-16, -5, -20]","[-18, -29, -25]","[-4, -25, -3]","[-11, -9, -7]",Evan_001_001
"[-40, 3, -30]","[-20, 33, -47]","[-17, 18, -18]","[-27, 3, -8]","[-17, -4, -20]","[-18, -25, -21]","[-4, -25, -5]","[-9, -10, -3]",Evan_001_001
"[-36, 3, -34]","[-22, 31, -45]","[-16, 17, -23]","[-29, 2, -5]","[-16, -4, -16]","[-18, -27, -24]","[-1, -26, -3]","[-12, -10, -13]",Evan_001_001
"[-39, 2, -27]","[-22, 35, -42]","[-14, 19, -18]","[-30, 1, -8]","[-14, -6, -18]","[-17, -23, -29]","[-2, -20, -6]","[-9, -13, -10]",Evan_001_001
"[-40, 1, -28]","[-18, 32, -46]","[-17, 18, -15]","[-27, 1, -10]","[-17, -4, -22]","[-17, -25, -30]","[-2, -24, -7]","[-12, -11, -16]",Evan_001_001
"[-40, 3, -27]","[-18, 31, -41]","[-16, 20, -13]","[-27, 2, -8]","[-18, -2, -29]","[-20, -23, -25]","[0, -25, -3]","[-9, -15, -8]",Evan_001_001
"[-37, 3, -29]","[-19, 34, -43]","[-14, 20, -14]","[-28, 3, -7]","[-18, -6, -25]","[-16, -24, -26]","[-5, -28, 2]","[-10, -11, -10]",Evan_001_001
"[-40, 3, -29]","[-21, 30, -45]","[-14, 17, -13]","[-27, 3, -8]","[-15, -5, -16]","[-18, -27, -26]","[-4, -26, -1]","[-10, -11, -13]",Evan_001_001
"[-40, 1, -30]","[-22, 32, -40]","[-15, 19, -12]","[-28, 1, -10]","[-16, -4, -19]","[-19, -22, -30]","[-2, -25, 0]","[-12, -12, -6]",Evan_001_001
"[-37, 3, -26]","[-19, 28, -42]","[-11, 19, -11]","[-25, 1, -7]","[-17, -3, -21]","[-17, -23, -23]","[0, -23, 3]","[-9, -7, -8]",Evan_001_001
"[-39, 0, -27]","[-21, 31, -39]","[-14, 17, -16]","[-27, 4, -7]","[-16, -3, -23]","[-18, -22, -22]","[-6, -26, -6]","[-8, -12, -11]",Evan_001_001
"[-40, 2, -29]","[-23, 31, -41]","[-18, 17, -17]","[-28, 1, -6]","[-16, -5, -24]","[-17, -27, -28]","[0, -23, 0]","[-10, -12, -9]",Evan_001_001
"[-42, 0, -28]","[-22, 33, -46]","[-18, 19, -15]","[-27, 0, -4]","[-16, -5, -18]","[-18, -25, -24]","[0, -23, -2]","[-10, -12, -9]",Evan_001_001
"[-37, 1, -27]","[-22, 33, -40]","[-13, 19, -13]","[-28, 2, -10]","[-19, -1, -24]","[-19, -26, -28]","[-2, -25, -8]","[-11, -10, -13]",Evan_001_001
"[-41, 1, -26]","[-23, 33, -43]","[-17, 18, -15]","[-27, 0, -3]","[-17, -3, -18]","[-14, -27, -31]","[-1, -26, -5]","[-12, -11, -10]",Evan_001_001
"[-41, 2, -23]","[-22, 30, -38]","[-20, 17, -15]","[-29, 2, -5]","[-15, -5, -15]","[-17, -25, -28]","[-3, -25, -5]","[-11, -9, -8]",Evan_001_001
"[-42, 0, -31]","[-21, 32, -43]","[-14, 19, -14]","[-26, 2, -5]","[-20, -2, -20]","[-15, -26, -27]","[-1, -24, 0]","[-14, -9, -11]",Evan_001_001
"[-39, 2, -27]","[-23, 32, -44]","[-18, 16, -19]","[-29, 4, -4]","[-15, -3, -27]","[-18, -27, -28]","[1, -25, -4]","[-12, -9, -12]",Evan_001_001
"[-38, 1, -26]","[-22, 32, -42]","[-18, 16, -13]","[-27, 4, -4]","[-16, -5, -25]","[-19, -24, -27]","[-5, -26, -5]","[-8, -12, -7]",Evan_001_001
"[-39, 1, -26]","[-24, 29, -46]","[-17, 15, -12]","[-26, 1, -13]","[-17, -6, -19]","[-17, -21, -23]","[-4, -23, -5]","[-10, -11, -11]",Evan_001_001
"[-41, 2, -29]","[-24, 28, -47]","[-16, 18, -13]","[-27, 4, -11]","[-16, -2, -22]","[-19, -21, -27]","[-2, -25, 0]","[-11, -11, -7]",Evan_001_001
"[-39, -1, -29]","[-20, 29, -47]","[-17, 17, -17]","[-25, 2, -6]","[-14, -2, -20]","[-14, -23, -24]","[0, -25, -2]","[-14, -9, -11]",Evan_001_001
"[-39, 0, -28]","[-25, 31, -37]","[-17, 16, -13]","[-25, 3, -9]","[-16, -1, -20]","[-12, -24, -25]","[-4, -24, 0]","[-9, -11, -7]",Evan_001_001
"[-41, 0, -25]","[-24, 32, -37]","[-14, 17, -20]","[-26, 3, -9]","[-16, -2, -16]","[-17, -24, -27]","[0, -25, -4]","[-10, -9, -13]",Evan_001_001
"[-41, 2, -23]","[-23, 31, -37]","[-15, 18, -8]","[-29, 0, -5]","[-18, -4, -20]","[-16, -26, -30]","[-2, -26, -6]","[-11, -11, -7]",Evan_001_001
"[-42, 1, -23]","[-23, 33, -39]","[-17, 17, -13]","[-26, 3, -9]","[-18, -4, -23]","[-17, -25, -34]","[-2, -24, -2]","[-11, -10, -14]",Evan_001_001
"[-41, 4, -23]","[-24, 31, -38]","[-16, 13, -11]","[-27, 2, -5]","[-17, -4, -20]","[-19, -28, -31]","[-2, -23, -2]","[-15, -12, -14]",Evan_001_001
"[-43, 0, -30]","[-25, 33, -43]","[-17, 17, -13]","[-27, 2, 0]","[-20, -4, -24]","[-18, -22, -30]","[-3, -24, -5]","[-12, -9, -11]",Evan_001_001
"[-43, 2, -26]","[-26, 32, -37]","[-16, 16, -13]","[-27, 3, -3]","[-18, -3, -21]","[-20, -24, -33]","[-1, -25, -9]","[-11, -10, -11]",Evan_001_001
"[-39, 3, -12]","[-22, 31, -29]","[-15, 14, -3]","[-24, 0, 3]","[-15, -4, -18]","[-14, -24, -30]","[-1, -25, -3]","[-13, -12, -13]",Evan_001_001
"[-42, 3, -14]","[-26, 30, -28]","[-16, 15, -9]","[-24, 2, 1]","[-19, -4, -20]","[-19, -23, -33]","[-1, -27, -6]","[-11, -11, -17]",Evan_001_001
"[-46, 4, -9]","[-29, 31, -32]","[-19, 17, 0]","[-25, 2, 6]","[-14, -4, -24]","[-17, -26, -32]","[-4, -24, -6]","[-13, -12, -21]",Evan_001_001
"[-42, 8, -12]","[-32, 31, -28]","[-18, 12, -6]","[-25, 0, 11]","[-16, -3, -28]","[-14, -26, -33]","[-3, -26, -7]","[-13, -11, -13]",Evan_001_001
"[-46, 6, -9]","[-32, 36, -27]","[-14, 16, -2]","[-28, 2, 8]","[-16, -4, -25]","[-17, -24, -36]","[-2, -29, 0]","[-14, -10, -12]",Evan_001_001
"[-49, 6, -9]","[-33, 32, -33]","[-17, 15, -4]","[-26, 1, 5]","[-19, -5, -28]","[-14, -24, -34]","[-2, -27, -8]","[-12, -11, -17]",Evan_001_001
"[-44, 2, -10]","[-31, 33, -32]","[-21, 15, -1]","[-22, 0, 5]","[-17, -5, -28]","[-19, -23, -31]","[-1, -25, -6]","[-11, -11, -11]",Evan_001_001
"[-43, 0, -8]","[-33, 25, -30]","[-20, 6, 0]","[-25, -2, 11]","[-16, -2, -25]","[-15, -23, -34]","[0, -22, -7]","[-11, -12, -10]",Evan_001_001
"[-24, 1, 21]","[-29, 10, 4]","[-14, -5, 10]","[-7, -10, 21]","[-11, -2, -20]","[-11, -18, -21]","[3, -20, -5]","[-7, -9, -11]",Evan_001_001
