Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Label
"[-8, 4, 0]","[-2, 8, 6]","[0, 4, 7]","[0, 0, 7]","[-3, 3, -3]","[-3, -6, -9]","[0, -4, -3]","[-2, -1, 0]",Evan_001_001
"[-5, 3, 7]","[-4, 7, 9]","[0, 0, 7]","[-2, -2, 10]","[-1, 1, -3]","[-3, -3, -11]","[2, -3, -5]","[-4, 0, 2]",Evan_001_001
"[-4, 1, 3]","[-1, 7, 7]","[-1, 0, 4]","[0, -1, 3]","[-3, 2, -4]","[0, -3, -6]","[1, -2, -5]","[-2, -1, -3]",Evan_001_001
"[-6, -1, 0]","[-2, 10, 3]","[0, -1, 6]","[0, 0, 8]","[-3, 1, -4]","[-3, -4, -5]","[0, 0, -1]","[0, 0, -1]",Evan_001_001
"[-5, 2, 6]","[-4, 10, 2]","[2, 0, 10]","[-1, -1, 5]","[-3, 2, -4]","[2, -4, -6]","[1, -4, -5]","[0, -1, 0]",Evan_001_001
"[-5, 3, 7]","[0, 7, 2]","[0, 0, 6]","[0, 0, 3]","[-4, 2, -9]","[0, -3, -9]","[3, -3, -4]","[-2, 0, -4]",Evan_001_001
"[-5, 3, 1]","[-1, 7, 2]","[2, 1, 7]","[-3, 0, 4]","[-5, 2, -6]","[-1, -5, -3]","[2, -5, 2]","[0, 0, 0]",Evan_001_001
"[-5, 3, 8]","[-3, 9, 9]","[0, -1, 7]","[0, -3, 12]","[-4, 1, -8]","[-3, -4, -7]","[-1, -7, -3]","[-1, -1, -8]",Evan_001_001
"[-24, -1, 15]","[-25, 14, -7]","[-13, 3, 2]","[-10, -4, 20]","[-16, 1, -17]","[-14, -16, -24]","[-6, -19, -9]","[-10, -8, -9]",Evan_001_001
"[-38, -6, -9]","[-29, 21, -44]","[-24, 10, -16]","[-24, -6, 1]","[-18, -5, -16]","[-21, -18, -19]","[-3, -22, 2]","[-9, -8, -6]",Evan_001_001
"[-36, -4, -23]","[-21, 17, -41]","[-17, 13, -23]","[-21, -2, -6]","[-16, -5, -17]","[-17, -19, -22]","[-1, -25, -2]","[-9, -10, -3]",Evan_001_001
"[-38, -6, -23]","[-20, 23, -49]","[-8, 14, -24]","[-25, -1, -3]","[-13, -1, -16]","[-16, -20, -22]","[-5, -22, -2]","[-11, -11, -1]",Evan_001_001
"[-35, -3, -19]","[-25, 24, -44]","[-15, 16, -21]","[-26, -1, -4]","[-20, -4, -17]","[-18, -25, -25]","[-1, -23, -4]","[-14, -10, -8]",Evan_001_001
"[-37, -3, -24]","[-21, 23, -43]","[-13, 19, -13]","[-26, -2, -4]","[-15, -2, -18]","[-18, -22, -22]","[-4, -25, 0]","[-11, -11, -11]",Evan_001_001
"[-35, -6, -21]","[-22, 23, -44]","[-15, 15, -19]","[-27, -2, -3]","[-16, -3, -24]","[-19, -25, -23]","[-3, -23, -2]","[-10, -10, -8]",Evan_001_001
